Nationality,Shirt number,Name,PlayerID,Coach,Specialty,Mother club bonus,Injuries,Warnings,Transfer-listed,Age,Days,TSI,Wage,Weeks in club,Experience,Leadership,Loyalty,Form,Stamina,Keeper,Defending,Playmaking,Winger,Passing,Scoring,Set Pieces,Last match date,Last match rating,Last match position
Česká republika,,Leopold Vach,456723553,,,,,,,17,59,2150,348,7,2,5,8,4,5,1,5,5,8,5,5,2,1-20-2021,3,RW
Italia,,Daniele Passarin,456724261,,Unpredictable,,,,,17,64,530,324,7,2,3,8,2,5,1,4,5,6,5,5,3,1-6-2021,1,RW
Polska,,Sergiusz Soplica,456678217,,Head,,,,,17,65,470,300,7,2,6,8,6,5,1,3,5,6,4,3,3,1-20-2021,2,RB
Italia,,Samuele Camaiani,456682655,,Technical,,,,,17,66,410,324,7,1,4,8,5,4,1,4,5,6,3,3,5,1-17-2021,2.5,RW
Colombia,,Giovanni Plazas,456706688,,Quick,,,,,17,68,560,324,7,2,4,8,5,5,1,5,5,5,5,3,3,1-17-2021,2.5,RB
China,,付 (Fu)  元福 (Yuanfu),456646544,,Quick,,,,,17,68,620,348,8,2,5,8,5,5,1,3,6,6,3,3,1,1-20-2021,1.5,LB
Česká republika,,František Panec,456726327,,Head,,,,,17,71,280,348,7,1,3,8,2,4,1,3,6,4,4,5,2,12-27-2020,1,CD
România,,Andrei Dochioiu,456149773,,,,,,,17,80,1470,324,7,2,3,8,6,5,1,6,5,7,5,3,4,1-17-2021,3,LB
Israel,,Achikam Givon,456036567,,Unpredictable,,,,,17,88,980,372,7,2,3,8,3,5,1,5,6,6,5,5,4,1-20-2021,2,LW
Schweiz,,Detlef Wetter,455968395,,Unpredictable,,,,,17,91,1010,324,7,1,3,8,6,5,1,4,5,6,5,5,1,1-17-2021,2.5,LW
USA,16,Hossam Ayoub,456729161,,,1,,,,18,94,1240,410,8,2,5,20,4,6,1,2,4,6,5,7,6,1-17-2021,4,FW
USA,4,Peter Krüsch,456729148,,,1,,,,18,109,690,390,8,2,5,20,3,6,1,7,4,4,4,2,6,1-17-2021,2.5,CD
USA,9,Longino Arreola,456729153,,,1,,,,20,1,940,330,8,2,2,20,5,5,1,5,6,3,6,3,5,1-17-2021,4,IM
USA,13,Homero Elías Calles,456729158,,,1,,,,21,20,1540,350,8,3,2,20,5,6,1,5,6,7,5,2,4,12-23-2020,4,LW
USA,8,Philip Lehman,456729152,,,1,,,,21,86,690,310,8,3,6,20,5,5,1,5,6,4,4,2,5,12-30-2020,4,IM
USA,1,Phil Peeples,456729145,,Technical,1,,,,22,23,2320,990,8,2,3,20,7,6,6,3,1,2,1,1,5,1-20-2021,3,GK
USA,10,Cole Frampton,456729154,,Technical,1,,,,24,7,1190,430,8,3,3,20,4,6,1,6,7,3,4,2,5,1-20-2021,3,IM
USA,12,Steven Shotwell,456729157,,,1,,,,24,106,890,410,8,3,2,20,5,5,1,4,7,3,5,3,4,11-29-2020,0,IM
USA,18,Roy Belcher,456729163,,Unpredictable,1,,,,25,91,880,310,8,4,2,20,4,6,1,3,5,3,6,6,2,1-17-2021,2,IM
USA,11,Austin Liner,456729155,,,1,,,,26,48,690,330,8,3,4,20,4,6,2,5,6,3,5,3,6,1-20-2021,3,IM
USA,6,Israel Vernon,456729150,,Unpredictable,1,,,,26,78,1700,390,8,4,7,20,7,7,1,7,4,6,3,1,6,1-20-2021,4,CD
USA,2,Jack McCray,456729146,,Unpredictable,1,,,,27,84,1590,830,8,4,5,20,6,6,6,5,1,2,2,1,3,1-17-2021,3.5,GK
USA,14,Tom Hayden,456729159,,,1,,,,28,5,910,310,8,5,2,20,6,6,1,5,5,6,4,3,4,1-20-2021,3.5,FW
USA,3,Demetrius Machen,456729147,,,1,,,,29,7,450,300,8,5,6,20,5,6,1,6,6,3,1,1,3,1-17-2021,3.5,CD
USA,5,Jared Vernon,456729149,,Powerful,1,,,,31,1,180,280,8,6,3,20,3,5,1,6,5,4,3,2,7,1-20-2021,3,CD
USA,7,Joey Cartwright,456729151,,,1,,,,32,23,640,310,8,6,2,20,5,6,2,6,5,6,6,2,6,1-20-2021,3,FW
USA,17,Mazen Dergham,456729162,,Unpredictable,1,,,,33,73,100,310,8,6,1,20,2,5,1,2,4,4,4,7,4,1-17-2021,2.5,FW
USA,,Rogelio Nakamura,456729144,1,,1,,,,41,26,0,250,8,7,4,20,4,2,1,0,0,0,1,0,1,,,
