Nationality,Shirt number,Name,PlayerID,Coach,Speciality,Mother club bonus,Injuries,Warnings,Transfer-listed,Age,Days,TSI,Wage,Weeks in club,Experience,Leadership,Loyalty,Form,Stamina,Keeper,Defending,Playmaking,Winger,Passing,Scoring,Set pieces,Last match date,Last match rating,Last match position,Category
Chile,,Ramón Del Transito Marmolejo,446855228,,Powerful,,,,,18,2,630,420,0,1,4,2,6,5,1,2,3,2,7,4,3,,,,
Guatemala,,Eric Mosquera,444487157,,Quick,,,,,18,3,710,372,0,2,5,2,6,6,1,4,3,4,7,3,4,10-24-2019,2.5,FW,
Romania,,Gheorghe Tuhuţ,446863185,,Head,,,,,18,54,440,372,0,1,5,2,6,5,1,2,3,3,7,3,5,,,,
Norway,,Ronny Strande,446851011,,Unpredictable,,,,,18,67,1440,468,0,1,7,2,6,6,1,4,3,4,7,4,3,10-24-2019,2.5,FW,
USA,4,Austin Sanders,446424252,,,1,,,,18,101,940,370,2,2,4,20,6,7,1,7,4,3,4,3,5,10-17-2019,3,FW,
USA,16,Efraín Cárdenas,446424264,,,1,,1,,19,12,1760,410,2,2,4,20,6,6,1,3,3,6,5,7,6,10-24-2019,4.5,FW,
USA,9,Matt Mustard-Brown,446424257,,,1,,,,19,61,1020,330,2,2,5,20,5,7,1,4,6,2,6,3,6,10-24-2019,3.5,IM,
USA,13,Jarrett Fortier,446424261,,,1,,,,21,11,1240,330,2,3,6,20,6,6,1,4,6,6,5,2,5,,,,
USA,8,Eleazar Santana,446424256,,Quick,1,,,,21,26,730,310,2,3,7,20,4,7,1,5,6,5,4,2,4,10-24-2019,3.5,IM,
USA,1,Leider Moncada,446424249,,Quick,1,,,,21,92,2210,990,2,2,1,20,6,6,6,2,1,1,1,1,6,10-24-2019,3,GK,
USA,15,Brandon Bombard,446424263,,,1,,,,22,64,1800,350,2,3,2,20,5,6,1,4,5,7,6,3,4,10-24-2019,4,LW,
USA,10,Jefferson Long,446424258,,,1,,,,23,108,1370,430,2,3,5,20,6,5,1,6,7,2,4,2,5,10-17-2019,3,CD,
USA,12,Cliff Shrout,446424260,,,1,,,,25,0,810,410,2,4,6,20,4,6,1,4,7,3,4,3,5,,,,
USA,11,Brendan Etherton,446424259,,Technical,1,,,,25,38,870,330,2,4,4,20,6,6,2,5,6,3,5,3,5,10-17-2019,4.5,IM,
USA,18,Javier De la Garza,446424266,,,1,,,,25,109,1150,330,2,4,6,20,6,6,1,2,5,3,6,6,2,,,,
USA,6,Daniel Farrington,446424254,,,1,,,,26,23,1190,390,2,4,3,20,6,7,1,7,4,5,3,2,6,10-24-2019,4,RB,
USA,14,Liam Collie,446424262,,Unpredictable,1,,,,27,85,1050,290,2,4,2,20,7,6,1,5,5,6,4,4,3,10-24-2019,4,RW,
USA,2,Stuart Bates,446424250,,Powerful,1,,,,27,110,1640,890,2,4,2,20,5,5,6,5,1,1,2,1,2,,,,
USA,3,Kalin Fischer,446424251,,Technical,1,,,,29,9,370,300,2,4,6,20,6,7,1,6,5,3,2,2,4,10-24-2019,3.5,CD,
USA,5,Shane Savoy,446424253,,,1,,,,31,1,170,280,2,5,1,20,5,6,1,6,4,3,2,2,7,10-17-2019,3,CD,
USA,7,Michael Rudolf Umbach,446424255,,Powerful,1,,1,,31,94,870,310,2,6,2,20,7,6,2,6,6,5,5,3,6,10-24-2019,4,CD,
USA,17,Devin Edenfield,446424265,,Unpredictable,1,,,,33,56,210,310,2,6,5,20,5,6,1,2,5,3,3,7,5,,,,
USA,,Destin Baum,446424248,1,,1,,,,40,48,0,250,2,6,4,20,4,4,2,0,2,2,2,0,4,,,,
