Nationality,Shirt number,Name,PlayerID,Coach,Speciality,Mother club bonus,Injuries,Warnings,Transfer-listed,Age,Days,TSI,Wage,Weeks in club,Experience,Leadership,Loyalty,Form,Stamina,Keeper,Defending,Playmaking,Winger,Passing,Scoring,Set pieces,Last match date,Last match rating,Last match position,Category
Chile,,Ramón Del Transito Marmolejo,446855228,,Powerful,,,,,18,9,570,420,1,1,4,4,4,5,1,2,3,2,7,4,3,10-28-2019,2,FW,
Guatemala,,Eric Mosquera,444487157,,Quick,,,,,18,10,700,372,1,2,5,4,5,6,1,4,3,4,7,4,4,10-31-2019,2.5,FW,
Romania,,Gheorghe Tuhuţ,446863185,,Head,,,,,18,61,460,372,1,1,5,3,6,5,1,2,3,3,7,4,5,10-28-2019,2,FW,
Norway,,Ronny Strande,446851011,,Unpredictable,,,,,18,74,1540,468,1,1,7,4,6,6,1,4,3,4,7,5,3,10-31-2019,3,FW,
USA,4,Austin Sanders,446424252,,,1,,,,18,108,880,370,2,2,4,20,5,7,1,7,4,3,4,3,5,10-31-2019,3.5,CD,
USA,16,Efraín Cárdenas,446424264,,,1,,2,,19,19,1950,410,2,2,4,20,6,6,1,3,3,6,5,8,6,10-31-2019,4.5,FW,
USA,9,Matt Mustard-Brown,446424257,,,1,,,,19,68,1100,330,2,2,5,20,5,7,1,4,6,2,6,4,6,10-28-2019,4,FW,
USA,13,Jarrett Fortier,446424261,,,1,,,,21,18,1190,330,2,3,6,20,5,6,1,4,6,6,5,2,5,10-28-2019,4,IM,
USA,8,Eleazar Santana,446424256,,Quick,1,,,,21,33,660,310,2,3,7,20,3,7,1,5,6,5,4,2,4,10-24-2019,3.5,IM,
USA,1,Leider Moncada,446424249,,Quick,1,,,,21,99,2280,990,2,3,1,20,6,6,6,2,1,1,1,1,6,10-31-2019,3,GK,
USA,15,Brandon Bombard,446424263,,,1,,,,22,71,1860,350,2,3,2,20,6,7,1,4,5,7,6,3,4,10-31-2019,3.5,RW,
USA,10,Jefferson Long,446424258,,,1,,,,24,3,1390,430,2,3,5,20,6,6,1,6,7,2,4,2,5,10-31-2019,4,IM,
USA,12,Cliff Shrout,446424260,,,1,,,,25,7,750,410,2,4,6,20,4,6,1,4,7,3,4,3,5,,,,
USA,11,Brendan Etherton,446424259,,Technical,1,,,,25,45,860,330,2,4,4,20,6,6,2,5,6,3,5,3,5,10-17-2019,4.5,IM,
USA,18,Javier De la Garza,446424266,,,1,,,,26,4,1100,330,2,4,6,20,5,6,1,2,5,3,6,6,2,10-31-2019,3,IM,
USA,6,Daniel Farrington,446424254,,,1,,,,26,30,1180,390,2,4,3,20,6,7,1,7,4,5,3,2,6,10-28-2019,4,RB,
USA,14,Liam Collie,446424262,,Unpredictable,1,,,,27,92,1080,290,2,4,2,20,7,7,1,5,5,6,4,4,3,10-31-2019,4.5,LW,
USA,2,Stuart Bates,446424250,,Powerful,1,,,,28,5,1410,890,2,4,2,20,4,5,6,5,1,1,2,1,2,10-28-2019,3,GK,
USA,3,Kalin Fischer,446424251,,Technical,1,,,,29,16,360,300,2,4,6,20,6,7,1,6,5,3,2,2,4,10-28-2019,3.5,LB,
USA,5,Shane Savoy,446424253,,,1,,,,31,8,150,280,2,5,1,20,4,6,1,6,4,3,2,2,7,10-31-2019,3,CD,
USA,7,Michael Rudolf Umbach,446424255,,Powerful,1,,2,,31,101,880,310,2,6,2,20,7,6,2,6,6,5,5,3,6,10-31-2019,3.5,CD,
USA,17,Devin Edenfield,446424265,,Unpredictable,1,,,,33,63,200,310,2,6,5,20,5,6,1,2,5,3,3,7,5,,,,
USA,,Destin Baum,446424248,1,,1,,,,40,55,0,250,2,6,4,20,4,3,2,0,2,2,2,0,4,,,,
